id,name,affiliation,orcid
PM,Pascal Mouquet,"Ifremer DOI, La Réunion, France",0000-0003-0361-4131
TB,Touria Bajjouk,"Ifremer, Brest, France",0000-0001-9039-0660
MR,Michel Ropert,"Ifremer DOI, La Réunion, France",0000-0002-5837-6268
LM,Laurence Maurel,"Kart'eau, La Réunion, France",
VI,Victor Illien,"Ifremer DOI, La Réunion, France",0009-0007-2143-8027
