session_name,Creators,DataManager,DataCollector,ProjectMember
20210603_MDG-Toliara_UVC-01_03,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210604_MDG-Toliara_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210604_MDG-Toliara_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210903_MDG-Salary_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210903_MDG-Salary_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210903_MDG-Salary_UVC-01_03,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210903_MDG-Salary_UVC-01_04,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210904_MDG-Salary_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210904_MDG-Salary_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210904_MDG-Salary_UVC-01_03,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210905_MDG-Salary_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210905_MDG-Salary_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210906_MDG-Salary_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210906_MDG-Salary_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210906_MDG-Salary_UVC-01_03,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210906_MDG-Salary_UVC-01_04,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210906_MDG-Salary_UVC-01_05,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20210906_MDG-Salary_UVC-01_06,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
