id,name,affiliation,orcid
ALDN,Aina Le Don Nomenisoa,"Madagascar National Oceanographic Data Centre",
YAM,Yves Amoros Mitondrasoa,"Madagascar National Oceanographic Data Centre",
VI,Victor Illien,"Ifremer DOI, La Réunion, France",0009-0007-2143-8027
