session_name,Creators,DataManager,DataCollector,ProjectMember
20190523_MUS-Rodrigues_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190524_MUS-Rodrigues-Anse-Bouteille_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190524_MUS-Rodrigues-Saint-Francois_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190525_MUS-Rodrigues-Riviere-Banane_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190525_MUS-Rodrigues-Saint-Francois_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190526_MUS-Rodrigues-Saint-Francois_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190530_MUS-Le-Morne-One-Eye-Manawa_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190602_MUS-le-Morne-little-Reef-Finkel-Chameau_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190615_MUS-Le-Morne-little-reef-Chameau_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190623_MUS-Le-Morne-One-Eye_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190706_MUS-Le-Morne-La-Pointe_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190707_MUS-Le-Morne-Bastien_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190707_MUS-Le-Morne_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190707_MUS-Prairie-Bastien_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190707_MUS-Prairie_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190712_MUS-Le-Morne-La-Pointe_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190714_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190803_MUS-One-Eye_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190810_MUS-Le-Morne-La-Pointe-Platin-Rouge_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190811_MUS-Le-Morne-Manawa-Platin-rouge_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190903_MUS-Le-Morne-Manawa_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190904_MUS-Le-Morne-Manawa_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190911_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190914_MUS-Le-Morne-Manawa_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190915_MUS-sancho_SURF-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190918_MUS-Le-Morne-La-Pointe_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190920_MUS-Le-Morne-Manu_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190921_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190923_MUS-kite-lagoon-le-morne-Manu-julien_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190923_MUS-kite-lagoon-le-morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190924_MUS-Le-Morne_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190927_MUS-One-Eye_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20190930_MUS-Le-Morne-One-Eye_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20221030_MDG-Ifaty_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20221031_MDG-Ifaty_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20221101_MDG-Ifaty_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20221106_MDG-Sarodrano_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20221111_MDG-Anakao_KITE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20230503_MDG-Nosy-Tafara_BOAT-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20230503_MDG-Nosy-Velomitahy_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20230503_MDG-Reef-Manjaka_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20230504_MDG-GRT-Micro-atoll-zoneB-lowtide_HIKE-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20230505_MDG-GRT-Fausse-passe_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20230505_MDG-Sarodrano-Reef-Manjaka_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20230915_MDG-Nosy-Sakatia_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20230916_MDG-Nosy-Sakatia_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
20230917_MDG-Nosy-Fahiny_SCUBA-01_01,"JB, MC, VI, SBO","VI, JB",JB,
