root_folder,session_name
/scale/project/rummo/plancha-session,20250425_REU-ST-LEU_ASV-1_01
/scale/project/rummo/plancha-session,20250519_REU-ST-LEU_ASV-1_01
/scale/project/rummo/plancha-session,20250616_REU-ST-LEU_ASV-1_03
